lat,lon,violation_count,peak_hour_share,near_junction,top_violation,score_density,score_peak,score_junction,congestion_impact_score,priority_rank
12.977,77.57600000000001,1422,0.16526019690576652,1.0,NO PARKING,0.9999999999992918,0.1652601967405063,0.9999999989999999,0.8330520390477472,1
12.981,77.61,1234,0.09238249594813615,1.0,WRONG PARKING,0.8668555240787063,0.09238249585575364,0.9999999989999999,0.7519042609105038,2
12.964,77.577,964,0.4491701244813278,1.0,WRONG PARKING,0.6756373937672269,0.44917012403215767,0.9999999989999999,0.727652721390045,3
12.973,77.57900000000001,1020,0.0892156862745098,1.0,NO PARKING,0.7152974504244226,0.08921568618529412,0.9999999989999999,0.67549186214927,4
12.977,77.577,891,0.1739618406285073,1.0,WRONG PARKING,0.6239376770533824,0.17396184045454546,0.9999999989999999,0.6467612063176004,5
12.984,77.604,766,0.24673629242819844,1.0,NO PARKING,0.5354107648721421,0.24673629218146212,0.9999999989999999,0.6170526405723634,6
12.965,77.539,716,0.24860335195530725,1.0,WRONG PARKING,0.4999999999996459,0.2486033517067039,0.9999999989999999,0.5997206700411637,7
12.974,77.545,787,0.10419313850063533,1.0,WRONG PARKING,0.5502832861185905,0.10419313839644219,0.9999999989999999,0.5959802704385837,8
12.976,77.577,808,0.06311881188118812,1.0,NO PARKING,0.5651558073650389,0.0631188118180693,0.9999999989999999,0.5952016657461332,9
12.965,77.57600000000001,673,0.2526002971768202,1.0,WRONG PARKING,0.4695467422092992,0.25260029692421987,0.9999999989999999,0.5852934301894935,10
12.984,77.60300000000001,720,0.10416666666666667,1.0,WRONG PARKING,0.5028328611894456,0.1041666665625,0.9999999989999999,0.5722497636072228,11
12.979000000000001,77.57900000000001,456,0.4583333333333333,1.0,NO PARKING,0.31586402266266583,0.45833333287499994,0.9999999989999999,0.5495986776063329,12
12.978,77.57900000000001,370,0.5945945945945946,1.0,NO PARKING,0.2549575070819724,0.594594594,0.9999999989999999,0.5463976720409862,13
12.978,77.574,584,0.18493150684931506,1.0,WRONG PARKING,0.406515580736256,0.18493150666438354,0.9999999989999999,0.5402440914010047,14
12.991,77.589,505,0.3227722772277228,1.0,WRONG PARKING,0.3505665722377121,0.3227722769049505,0.9999999989999999,0.5398377411998462,15
12.993,77.554,127,0.9763779527559056,1.0,WRONG PARKING,0.08286118980164103,0.9763779517795276,0.9999999989999999,0.5367061849567261,16
12.979000000000001,77.578,394,0.48984771573604063,1.0,NO PARKING,0.2719546742207706,0.48984771524619286,0.9999999989999999,0.5339468798596239,17
12.977,77.58,604,0.08278145695364239,1.0,WRONG PARKING,0.42067988668525447,0.08278145687086093,0.9999999989999999,0.5268962344167993,18
12.977,77.57900000000001,433,0.3533487297921478,1.0,NO PARKING,0.29957507082131757,0.3533487294387991,0.9999999989999999,0.5204572809984185,19
12.98,77.575,454,0.30837004405286345,1.0,WRONG PARKING,0.31444759206776596,0.3083700437444934,0.9999999989999999,0.5188978044827817,20
12.979000000000001,77.575,480,0.2604166666666667,1.0,WRONG PARKING,0.332861189801464,0.26041666640625,0.9999999989999999,0.518513927881982,21
12.978,77.575,481,0.2390852390852391,1.0,WRONG PARKING,0.3335694050989139,0.23908523884615385,0.9999999989999999,0.5146017500186877,22
12.98,77.607,594,0.037037037037037035,1.0,NO PARKING,0.41359773371075526,0.037037036999999995,0.9999999989999999,0.5142062739553775,23
13.0,77.55,590,0.0423728813559322,1.0,NO PARKING,0.41076487252095556,0.04237288131355932,0.9999999989999999,0.5138570122231896,24
12.978,77.577,351,0.4358974358974359,1.0,NO PARKING,0.24150141643042386,0.4358974354615384,0.9999999989999999,0.5079301950075196,25
12.977,77.59100000000001,41,0.975609756097561,1.0,NO PARKING,0.021954674220947625,0.9756097551219511,0.9999999989999999,0.506099287834864,26
12.965,77.575,155,0.7677419354838709,1.0,WRONG PARKING,0.10269121813023889,0.767741934716129,0.9999999989999999,0.5048939957083451,27
12.982000000000001,77.608,566,0.038869257950530034,1.0,WRONG PARKING,0.3937677053821574,0.03886925791166077,0.9999999989999999,0.5046577039734108,28
12.98,77.572,22,1.0,1.0,WRONG PARKING,0.00849858356939908,0.9999999989999999,0.9999999989999999,0.5042492912846994,29
12.911,77.574,16,1.0,1.0,WRONG PARKING,0.00424929178469954,0.9999999989999999,0.9999999989999999,0.5021246453923498,30
12.989,77.553,15,1.0,1.0,WRONG PARKING,0.0035410764872496167,0.9999999989999999,0.9999999989999999,0.5017705377436248,31
12.967,77.568,14,1.0,1.0,NO PARKING,0.0028328611897996936,0.9999999989999999,0.9999999989999999,0.5014164300948998,32
12.964,77.57300000000001,13,1.0,1.0,WRONG PARKING,0.00212464589234977,0.9999999989999999,0.9999999989999999,0.5010623224461748,33
12.96,77.562,12,1.0,1.0,PARKING IN A MAIN ROAD,0.0014164305948998468,0.9999999989999999,0.9999999989999999,0.5007082147974499,34
12.91,77.57300000000001,12,1.0,1.0,WRONG PARKING,0.0014164305948998468,0.9999999989999999,0.9999999989999999,0.5007082147974499,35
12.96,77.554,10,1.0,1.0,NO PARKING,0.0,0.9999999989999999,0.9999999989999999,0.49999999949999996,36
12.982000000000001,77.606,545,0.03853211009174312,1.0,WRONG PARKING,0.378895184135709,0.038532110053211006,0.9999999989999999,0.49715401377849666,37
12.911,77.57300000000001,41,0.926829268292683,1.0,WRONG PARKING,0.021954674220947625,0.9268292673658536,0.9999999989999999,0.4963431902836445,38
12.976,77.57600000000001,473,0.15856236786469344,1.0,WRONG PARKING,0.3279036827193145,0.15856236770613105,0.9999999989999999,0.49566431460088345,39
12.981,77.608,524,0.04198473282442748,1.0,NO PARKING,0.3640226628892606,0.041984732782442746,0.9999999989999999,0.4904082777011188,40
12.935,77.608,14,0.9285714285714286,1.0,NO PARKING,0.0028328611897996936,0.928571427642857,0.9999999989999999,0.4871307158234712,41
12.974,77.551,486,0.08847736625514403,1.0,NO PARKING,0.3371104815861635,0.08847736616666665,0.9999999989999999,0.48625071372641504,42
12.975,77.57600000000001,472,0.11016949152542373,1.0,WRONG PARKING,0.3271954674218646,0.11016949141525423,0.9999999989999999,0.4856316316939831,43
12.982000000000001,77.61,414,0.18357487922705315,0.9951690821256038,WRONG PARKING,0.28611898016976905,0.18357487904347825,0.9951690811304347,0.4783251902327106,44
12.924,77.618,15,0.8666666666666667,1.0,NO PARKING,0.0035410764872496167,0.8666666658,0.9999999989999999,0.4751038711036248,45
12.994,77.589,347,0.276657060518732,1.0,NO PARKING,0.23866855524062416,0.2766570602420749,0.9999999989999999,0.474665689368727,46
12.973,77.551,449,0.0957683741648107,1.0,NO PARKING,0.31090651558051635,0.09576837406904232,0.9999999989999999,0.4746069323040666,47
12.992,77.551,14,0.8571428571428571,1.0,WRONG PARKING,0.0028328611897996936,0.8571428562857142,0.9999999989999999,0.4728450015520426,48
12.972,77.59400000000001,24,0.8333333333333334,1.0,NO PARKING,0.009915014164298927,0.8333333325,0.9999999989999999,0.47162417328214945,49
12.974,77.546,461,0.052060737527114966,1.0,WRONG PARKING,0.31940509914991544,0.05206073747505422,0.9999999989999999,0.47011469676996853,50
